코드군,명칭,코드테이블,개별코드
CAR_KCAR_CD,자동차차종코드,,N
DTA_OFR_REJC_CD,자료제공거부코드,,N
REEXP_FFMN_DTY_CONC_RCD,재수출이행의무종결사유코드,,N
DSCL_BSS_CD,적발근거코드,,N
DSCL_ITT_CD,적발기관코드,,N
DSCL_TECN_CD,적발기법코드,,N
DSCL_PRVS_CD,적발단서코드,,N
DSCL_PCD,적발유형코드,,N
DSCL_PCD_01,적발유형코드_01,,N
DSCL_PCD_02,적발유형코드_02,,N
DSCL_PLC_CD,적발장소코드,,N
DSCL_ITEM_CD,적발항목코드,,N
MNFS_NSBM_TKAC_MATR_CD,적하목록미제출조치사항코드,,N
MNFS_DFRN_BRKD_CD,적하목록상이내역코드,,N
MNFS_MDFY_RCD,적하목록정정사유코드,,N
CHK_TKAC_RSCD,점검조치결과코드,,N
INFO_ANAY_TRGT_PRLST_CD,정보분석대상품목코드,,N
INFO_ANAY_GD_CD,정보분석등급코드,,N
INFO_OBTN_TPCD,정보입수구분코드,,N
RSTN_PCD,제재유형코드,,N
INVG_TRGT_DCLR_NO_TPCD,조사대상신고번호구분코드,,N
INVG_TRGT_DCLR_NO_TPCD_01,조사대상신고번호구분코드_01,,N
INVG_TRGT_DCLR_NO_TPCD_02,조사대상신고번호구분코드_02,,N
INVG_TRGT_DCLR_NO_TPCD_03,조사대상신고번호구분코드_03,,N
INVG_TRGT_DCLR_NO_TPCD_04,조사대상신고번호구분코드_04,,N
INVG_TRGT_DCLR_NO_TPCD_05,조사대상신고번호구분코드_05,,N
INVG_TRGT_DCLR_NO_TPCD_06,조사대상신고번호구분코드_06,,N
INVG_TRGT_DCLR_NO_TPCD_07,조사대상신고번호구분코드_07,,N
INVG_TRGT_DCLR_NO_TPCD_08,조사대상신고번호구분코드_08,,N
INVG_TRGT_DCLR_NO_TPCD_09,조사대상신고번호구분코드_09,,N
INVG_TRGT_DCLR_NO_TPCD_10,조사대상신고번호구분코드_10,,N
INVG_TRGT_DCLR_NO_TPCD_11,조사대상신고번호구분코드_11,,N
INVG_TRGT_DCLR_NO_TPCD_12,조사대상신고번호구분코드_12,,N
